organoid_id,Preneurogenic_OV,RPC,RPC_Proliferating1,RPC_Proliferating2,Retina
BMP.E1.PLATE3,0.04935064935064935,0.787012987012987,0.06233766233766234,0.03116883116883117,0.07012987012987013
BMP.E10.PLATE3,0.05844155844155844,0.762987012987013,0.07142857142857142,0.03571428571428571,0.07142857142857142
BMP.E11.PLATE3,0.038686987104337635,0.7432590855803048,0.09026963657678781,0.04689331770222743,0.08089097303634232
BMP.E12.PLATE3,0.06354515050167224,0.7926421404682275,0.033444816053511704,0.043478260869565216,0.06688963210702341
BMP.E2.PLATE3,0.04789272030651341,0.7844827586206896,0.07950191570881227,0.05842911877394636,0.029693486590038315
BMP.E3.PLATE3,0.031767955801104975,0.7900552486187845,0.058011049723756904,0.06077348066298342,0.05939226519337017
BMP.E4.PLATE3,0.05511811023622047,0.7217847769028871,0.09448818897637795,0.05249343832020997,0.07611548556430446
BMP.E5.PLATE3,0.0602510460251046,0.7138075313807531,0.0895397489539749,0.05188284518828452,0.08451882845188284
BMP.E6.PLATE3,0.04194260485651214,0.7373068432671082,0.06622516556291391,0.06622516556291391,0.08830022075055188
BMP.E7.PLATE3,0.06741573033707865,0.7612359550561798,0.09550561797752809,0.03651685393258427,0.03932584269662921
BMP.E8.PLATE3,0.05737704918032787,0.8155737704918032,0.05737704918032787,0.012295081967213115,0.05737704918032787
BMP.E9.PLATE3,0.01282051282051282,0.75,0.0641025641025641,0.057692307692307696,0.11538461538461539
BMP.F1.PLATE3,0.028913260219341975,0.7926221335992024,0.05284147557328016,0.040877367896311065,0.0847457627118644
BMP.F10.PLATE3,0.018272425249169437,0.7657807308970099,0.0681063122923588,0.06312292358803986,0.08471760797342193
BMP.F11.PLATE3,0.0438871473354232,0.7836990595611285,0.05329153605015674,0.05329153605015674,0.06583072100313479
BMP.F12.PLATE3,0.036057692307692304,0.8653846153846154,0.040865384615384616,0.02403846153846154,0.03365384615384615
BMP.F2.PLATE3,0.05078125,0.80859375,0.0625,0.0390625,0.0390625
BMP.F3.PLATE3,0.047323506594259115,0.7967416602017068,0.051978277734678044,0.06904577191621412,0.03491078355314197
BMP.F4.PLATE3,0.03319502074688797,0.7344398340248963,0.0995850622406639,0.04149377593360996,0.0912863070539419
BMP.F5.PLATE3,0.028747433264887063,0.7125256673511293,0.10061601642710473,0.059548254620123205,0.09856262833675565
BMP.F6.PLATE3,0.06040268456375839,0.7516778523489933,0.09395973154362416,0.040268456375838924,0.053691275167785234
BMP.F7.PLATE3,0.04212637913741224,0.8415245737211635,0.04613841524573721,0.03009027081243731,0.04012036108324975
BMP.F8.PLATE3,0.03317535545023697,0.7417061611374408,0.05924170616113744,0.061611374407582936,0.10426540284360189
BMP.F9.PLATE3,0.042483660130718956,0.7598039215686274,0.07516339869281045,0.06209150326797386,0.06045751633986928
